anio;mes;dia_mes;dia_semana;semana_anio;trimestre;es_fin_semana;es_feriado;temperatura_max;temperatura_min;temperatura_promedio;precipitacion;condicion_clima_Lluvioso;condicion_clima_Nublado;condicion_clima_Soleado;es_dia_lluvia;lluvia_categorica;total_pacientes;pacientes_rayos_x;pacientes_mamografia;pacientes_ecografia;pacientes_laboratorio;pacientes_densitometria
2021;4;14;2;15;2;0;0;32.2;23.0;26.8;0.0;0;1;0;0;0;554;1;0;6;276;0
2021;4;15;3;15;2;0;0;32.2;23.3;27.5;0.3;0;1;0;0;0;564;1;0;1;306;0
2021;4;16;4;15;2;0;0;30.7;23.7;26.9;0.5;0;1;0;0;0;583;7;0;0;360;0
2021;4;17;5;15;2;1;0;31.1;23.7;26.7;7.8;0;1;0;0;0;320;0;1;2;178;1
2021;4;18;6;15;2;1;0;31.5;22.6;26.5;0.0;0;1;0;0;0;55;0;0;0;43;0
2021;4;19;0;16;2;0;0;29.3;22.6;26.0;1.3;0;1;0;0;0;697;4;0;1;372;1
2021;4;20;1;16;2;0;0;31.1;22.2;26.7;1.3;0;1;0;0;0;463;3;0;0;245;0
2021;4;21;2;16;2;0;0;33.0;23.0;27.7;0.3;0;0;1;0;0;561;4;0;1;299;2
2021;4;22;3;16;2;0;0;32.6;24.4;27.8;0.0;0;0;1;0;0;442;1;0;1;211;1
2021;4;23;4;16;2;0;0;32.6;23.3;27.1;0.3;0;1;0;0;0;448;0;1;1;243;1
2021;4;24;5;16;2;1;0;31.5;23.3;27.0;0.0;0;1;0;0;0;455;1;1;2;290;0
2021;4;25;6;16;2;1;0;32.2;23.7;27.9;0.0;0;1;0;0;0;42;1;0;0;29;0
2021;4;26;0;17;2;0;0;25.6;21.5;23.8;14.8;0;1;0;0;0;448;6;1;2;204;0
2021;4;27;1;17;2;0;0;25.9;21.1;23.3;7.8;0;1;0;0;0;516;3;0;3;283;0
2021;4;28;2;17;2;0;0;29.3;21.5;25.2;2.5;0;1;0;0;0;511;6;1;7;242;0
2021;4;29;3;17;2;0;0;28.9;23.0;25.4;0.0;0;1;0;0;0;467;3;0;4;235;1
2021;4;30;4;17;2;0;0;30.7;22.6;25.8;5.0;0;0;1;0;0;391;2;0;2;208;0
2021;5;1;5;17;2;1;1;31.9;21.9;26.3;4.8;0;0;1;0;0;165;0;0;1;112;0
2021;5;2;6;17;2;1;0;31.1;22.2;26.6;0.3;0;0;1;0;0;66;0;0;0;34;0
2021;5;3;0;18;2;0;0;32.6;23.0;27.5;5.3;0;1;0;0;0;611;5;0;4;274;1
2021;5;4;1;18;2;0;0;33.0;23.7;27.7;2.5;0;1;0;0;0;505;1;1;6;252;1
2021;5;5;2;18;2;0;0;31.5;23.7;27.4;0.8;0;1;0;0;0;458;3;0;2;230;1
2021;5;6;3;18;2;0;0;29.3;23.0;25.9;5.5;0;1;0;0;0;444;3;1;2;201;0
2021;5;7;4;18;2;0;0;26.3;21.5;23.5;16.5;0;1;0;0;0;294;2;0;5;148;2
2021;5;8;5;18;2;1;0;26.3;21.1;23.3;0.3;0;1;0;0;0;257;1;0;0;138;0
2021;5;9;6;18;2;1;0;28.9;20.7;24.7;0.0;0;0;1;0;0;56;0;0;0;46;0
2021;5;10;0;19;2;0;0;31.1;20.7;26.0;1.3;0;0;1;0;0;587;0;2;2;266;2
2021;5;11;1;19;2;0;0;31.5;22.2;26.8;1.5;0;0;1;0;0;425;3;3;2;175;0
2021;5;12;2;19;2;0;0;28.9;23.0;25.5;6.0;0;1;0;0;0;448;1;1;2;214;0
2021;5;13;3;19;2;0;0;29.6;23.0;25.5;0.0;0;1;0;0;0;379;4;0;5;172;0
2021;5;14;4;19;2;0;0;28.5;22.2;24.9;0.0;0;1;0;0;0;394;15;0;4;179;1
2021;5;15;5;19;2;1;0;29.6;23.0;25.9;3.3;0;1;0;0;0;365;0;1;2;231;0
2021;5;16;6;19;2;1;0;31.9;22.6;26.5;0.8;0;1;0;0;0;72;0;0;0;47;0
2021;5;17;0;20;2;0;0;31.1;22.6;26.3;0.8;0;1;0;0;0;514;3;1;3;244;3
2021;5;18;1;20;2;0;0;29.6;22.6;25.6;2.3;0;1;0;0;0;431;0;0;7;216;0
2021;5;19;2;20;2;0;0;30.0;22.6;26.3;0.0;0;1;0;0;0;365;2;0;2;182;2
2021;5;20;3;20;2;0;0;32.6;23.0;27.4;7.3;0;1;0;0;0;392;3;3;4;199;0
2021;5;21;4;20;2;0;0;32.2;23.7;27.7;0.3;0;1;0;0;0;382;0;0;3;180;2
2021;5;22;5;20;2;1;0;32.6;23.7;28.0;0.0;0;0;1;0;0;246;2;2;0;116;0
2021;5;23;6;20;2;1;0;29.3;22.6;25.8;4.0;0;1;0;0;0;61;0;0;0;35;0
2021;5;24;0;21;2;0;0;26.3;21.9;24.0;11.5;0;1;0;0;0;540;3;0;7;276;1
2021;5;25;1;21;2;0;0;28.1;21.5;24.8;3.3;0;1;0;0;0;388;2;0;6;185;0
2021;5;26;2;21;2;0;0;30.4;22.2;26.3;1.8;0;0;1;0;0;395;5;2;2;185;1
2021;5;27;3;21;2;0;0;31.9;23.7;27.2;0.0;0;0;1;0;0;399;6;3;3;174;0
2021;5;28;4;21;2;0;0;33.0;23.0;27.5;0.0;0;0;1;0;0;394;5;0;4;215;2
2021;5;29;5;21;2;1;0;33.0;23.3;28.2;0.0;0;0;1;0;0;329;1;0;12;141;0
2021;5;30;6;21;2;1;0;31.5;23.7;27.5;1.3;0;1;0;0;0;77;0;0;0;54;0
2021;5;31;0;22;2;0;0;26.3;23.0;24.4;13.8;0;1;0;0;0;445;3;0;3;199;1
2021;6;1;1;22;2;0;0;30.4;22.2;25.8;1.3;0;1;0;0;0;449;5;1;3;238;1
2021;6;2;2;22;2;0;0;31.1;23.3;26.6;1.0;0;1;0;0;0;450;1;1;4;229;0
2021;6;3;3;22;2;0;0;29.3;22.6;25.5;8.5;0;1;0;0;0;374;2;0;3;182;1
2021;6;4;4;22;2;0;0;28.5;23.0;25.4;7.8;0;1;0;0;0;431;2;3;1;223;2
2021;6;5;5;22;2;1;0;31.1;22.6;26.3;0.0;0;1;0;0;0;266;1;3;3;131;0
2021;6;6;6;22;2;1;0;29.3;23.7;25.7;6.5;0;1;0;0;0;30;0;0;0;17;0
2021;6;7;0;23;2;0;0;31.9;23.7;27.0;1.0;0;0;1;0;0;464;2;0;4;217;0
2021;6;8;1;23;2;0;0;30.4;23.3;26.4;1.3;0;1;0;0;0;449;4;0;0;235;1
2021;6;9;2;23;2;0;0;31.1;23.7;26.7;3.8;0;1;0;0;0;423;0;0;0;231;1
2021;6;10;3;23;2;0;0;31.5;23.3;27.5;0.0;0;1;0;0;0;422;1;2;5;175;1
2021;6;11;4;23;2;0;0;29.3;22.6;25.7;8.3;0;1;0;0;0;302;2;0;3;163;0
2021;6;12;5;23;2;1;0;25.6;21.5;22.9;11.5;0;1;0;0;0;326;1;1;3;162;2
2021;6;13;6;23;2;1;0;28.1;21.9;24.4;1.3;0;0;1;0;0;88;4;0;1;51;0
2021;6;14;0;24;2;0;0;30.0;21.1;25.4;1.0;0;0;1;0;0;429;1;4;10;171;0
2021;6;15;1;24;2;0;0;30.7;22.2;25.9;1.3;0;1;0;0;0;439;5;3;6;174;1
2021;6;16;2;24;2;0;0;30.4;21.9;26.0;0.0;0;1;0;0;0;423;2;2;2;211;3
2021;6;17;3;24;2;0;0;30.0;22.2;25.9;0.0;0;1;0;0;0;413;3;0;4;232;3
2021;6;18;4;24;2;0;0;30.0;22.6;25.7;0.5;0;1;0;0;0;333;0;1;3;149;0
2021;6;19;5;24;2;1;0;28.5;22.6;25.1;0.0;0;1;0;0;0;184;0;0;0;85;0
2021;6;20;6;24;2;1;0;27.0;23.0;24.6;0.0;0;1;0;0;0;27;0;0;0;21;0
2021;6;21;0;25;2;0;0;29.6;22.6;25.2;0.3;0;1;0;0;0;529;4;0;6;231;2
2021;6;22;1;25;2;0;0;30.4;22.2;25.8;0.0;0;1;0;0;0;407;3;0;3;181;0
2021;6;23;2;25;2;0;0;31.1;21.9;26.2;0.0;0;1;0;0;0;279;3;1;2;119;0
2021;6;24;3;25;2;0;0;31.9;23.0;27.1;0.0;0;1;0;0;0;77;0;0;0;43;0
2021;6;25;4;25;2;0;0;32.6;23.0;27.3;0.0;0;1;0;0;0;406;1;2;3;154;0
2021;6;26;5;25;2;1;0;31.5;22.6;27.1;1.0;0;1;0;0;0;317;2;2;7;124;2
2021;6;27;6;25;2;1;0;31.1;22.6;26.6;0.0;0;1;0;0;0;62;0;0;1;33;0
2021;6;28;0;26;2;0;0;29.3;21.9;25.0;4.5;0;1;0;0;0;534;1;2;3;222;2
2021;6;29;1;26;2;0;1;23.0;18.5;20.2;0.0;0;1;0;0;0;147;0;0;4;78;0
2021;6;30;2;26;2;0;0;24.1;18.1;20.8;2.8;0;0;1;0;0;462;0;3;5;204;0
2021;7;1;3;26;3;0;0;27.4;18.1;22.4;0.0;0;0;1;0;0;453;3;0;0;196;0
